"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","723","Validate the checkout by without giving Postal Code","chromium","2026-04-20","passed","2026-04-20","","checkout.spec.js","",""
"","649","Sort by price high to low","chromium","2026-04-20","passed","2026-04-20","Filters","home.spec.js","",""
"","454","Login without password","chromium","2026-04-20","passed","2026-04-20","","login.spec.js","",""
"","626","Verify the clicking of cart icon navigating to the cart page","chromium","2026-04-20","passed","2026-04-20","Cart","home.spec.js","",""
"","1520","Verify the sidebar close button","chromium","2026-04-20","passed","2026-04-20","","menus.spec.js","",""
"","685","Remove product from the cart","chromium","2026-04-20","passed","2026-04-20","","cart.spec.js","",""
"","1481","Logout the Application","chromium","2026-04-20","passed","2026-04-20","","menus.spec.js","",""
"","705","Verify that clicking the cancel button from checkout navigating back to Cart Page","chromium","2026-04-20","passed","2026-04-20","","checkout.spec.js","",""
"","826","Checkout with valid data","chromium","2026-04-20","passed","2026-04-20","","checkout.spec.js","",""
"","770","Validate the checkout by without giving Last Name","chromium","2026-04-20","passed","2026-04-20","","checkout.spec.js","",""
"","460","Login without username","chromium","2026-04-20","passed","2026-04-20","","login.spec.js","",""
"","3026","Verify the about menu is working","chromium","2026-04-20","passed","2026-04-20","","menus.spec.js","",""
"","519","Login using invalid credentials","chromium","2026-04-20","passed","2026-04-20","","login.spec.js","",""
"","664","Login with valid credentials","chromium","2026-04-20","passed","2026-04-20","","login.spec.js","",""
"","611","Add a product to cart","chromium","2026-04-20","passed","2026-04-20","Cart","home.spec.js","",""
"","649","Checkout the added product","chromium","2026-04-20","passed","2026-04-20","","cart.spec.js","",""
"","680","Sort by Name Z to A","chromium","2026-04-20","passed","2026-04-20","Filters","home.spec.js","",""
"","742","Validate the checkout by without giving First Name","chromium","2026-04-20","passed","2026-04-20","","checkout.spec.js","",""
"","655","Sort by price low to high","chromium","2026-04-20","passed","2026-04-20","Filters","home.spec.js","",""
"","672","Verify checkout button is visible","chromium","2026-04-20","passed","2026-04-20","","cart.spec.js","",""
"","779","Verify the added product is available in cart","chromium","2026-04-20","passed","2026-04-20","","cart.spec.js","",""
"","781","Click Continue Shipping","chromium","2026-04-20","passed","2026-04-20","","cart.spec.js","",""
